Item Number,Partnumber,Manufacturer P/N,Manufacturer Name,Manufacturer Family,Part Type,Description,Comment,Value (Numeric),Value (Text),Quantity,Unit of Measure,Manufactured here,RoHS Status,Build Sequence,Revision Name,Revision Status,Revision Reason,Preferred Vendor,Standard Cost,Standard Cost Currency,Standard Lead Time,Standard Cost Minimum,Standard Cost Multiple,Standard Cost Comment
57,R-0567,CRCW04024K99FKED,Vishay/Dale,,Resistor,RES 4.99 Kohm 1/16W 1% 0402 SMD,"","","",1,each,false,true,"",A,Active,Initial Revision,"",0.008,USD,,,,
58,R-0958,CRCW0402140RFKEDC,Vishay Dale,,Resistor,RES SMD 140 OHM 1% 1/16W 0402,Commercial,140.0,140,1,each,false,true,"",-,Active,"","",0.007,USD,,,,
59,R-0818,CRCW060310K0FKEA,Vishay Dale,,Resistor,"Resistor, 10k, 1%, 0.1W, 0603 (1608 Metric)","","","",1,each,false,true,"",A,Active,Initial Revision,"",,USD,,,,
60,R-0704,CRCW0402240RFKED,Vishay/Dale,,Resistor,RES 240 ohm 1/16W 1% 0402 SMD,"",240.0,240,2,each,false,true,"",A,Active,Initial Revision,"",0.009,USD,,,,
61,R-0643,CRCW04020000Z0ED,Vishay/Dale,,Resistor,RES 0 ohm 1/16W 0402 SMD,"",0.0,0,2,each,false,true,"",A,Active,Initial Revision,"",0.009,USD,,,,
63,T-0011,TC1-1T+,Mini-Circuits,,Transformer,TRANSFORMER TC 1:1 SMD,TC1-1T+,"","",1,each,false,true,"",A,Active,"","",,USD,,,,
64,T-0041,T-0041,"Kentzy International, Inc",,Transformer,TRANSFORMER INTERSTAGE 2T CT TO 2T,"",1.98,1.98,1,each,false,true,"",A,Active,"","",,USD,,,,
65,T-0043,T-0043,"Kentzy International, Inc",,Transformer,XFMR 7T #22 ON 5961000301 CORE,"",0.89,0.89,1,each,false,true,"",A,Active,"","",,USD,,,,
66,T-0044,T-0044,"FlexRadio, Inc.",,Transformer,"TRANSFORMER 1:16 1.1"" TYPE 61 CORE",RF-1000-T61-16:1-2W-LF,"","",1,each,true,true,"",C,Active,Added capacitor mounted to transformer for improved P1dB in 6m.,"",,USD,,,,
67,U-0376,SN74LVC1G97DBVR,Texas Instruments,,IC,IC CONFIG MULT-FUNC GATE SOT23-6,SN74LVC1G97DBVR,"","",2,each,false,true,"",A,Active,"","",,USD,,,,
68,U-0564,ATSAME51G19A-MF,Microchip,,IC,IC MCU 32-Bit ARM Cortex-M4F RISC 512KB Flash 48-Pin VQFN,"","","",1,each,false,true,"",A,Active,Initial Revision,"",3.87,USD,,,,
69,U-0309,AD8548ARZ-RL,Analog Devices,,IC,IC AMP QUAD MICROPWR 18V 14SOIC,AD8548ARZ-RL,"","",1,each,false,true,"",A,Active,"","",,USD,,,,
70,U-0392,ADM4073HWRJZ,Analog Devices,,IC,IC OPAMP CURR SENSE 100V/V SOT23-6,ADM4073HWRJZ,"","",1,each,false,true,"",A,Active,"","",,USD,,,,
71,U-0110,M24C64-WMN6P,ST Microelectronics,,IC,IC I2C EEPROM 64K 8SOIC,M24C64-WMN6P,"","",1,each,false,true,"",A,Active,"","",0.25,USD,,,,
72,U-0410,AD8692ARMZ-R7,Analog Devices,,IC,Precision Amplifiers Dual Low Noise CMOS RRO 10MHz GBP,DF I/O,"","",1,each,true,true,"",A,Active,Initial Revision,"",1.17,USD,,,,
73,U-0430,AD5593RBRUZ,Analog Devices,,IC,"8-Channel, 12-Bit, Configurable ADC/DAC with On-Chip Reference, I2C Interface","","","",1,each,false,true,"",-,Active,"",Digi-Key Corporation,4.48,USD,,,,
74,U-0665,"74VHCT125PW,118",Nexperia,,IC,IC QUAD BUS BUFF GATE 14-TSSOP,"","","",1,each,false,true,"",-,Active,"","",0.24,USD,,,,
75,U-0667,SN74LVC2GU04DBVR,Texas Instruments,,IC,"INVERTER, DUAL, SOT23-6 SMT PACKAGE","","","",1,each,true,true,"",1.0,Active,"","",,USD,,,,
76,U-0393,AS169-73LF,Skyworks Solutions,,IC,IC SW SPDT 300K-2.5GHZ SOT-6,"","","",1,each,false,true,"",A,Active,"","",,USD,,,,
77,J-0157,73366-0061,Molex,,Connector,CONN MCX JACK STR 50 OHM PCB,"","","",3,each,false,true,"",A,Active,"","",,USD,,,,
78,J-0021,22-23-2041,Molex,,Connector,CONN HEADER 4POS .100 VERT TIN,22-23-2041,"","",1,each,false,unknown,"",-,Active,"","",,USD,,,,
79,Y-0039,ABM11AIG-48.000MHZ-1Z-T,Abracon Corporation,,Crystal,CRYSTAL 48MHz 10pF -40C +125C 10ppm,"","","",1,each,false,true,"",A,Active,Initial Revision,"",0.398,USD,,,,
82,PC-0154,PC-0154,"FlexRadio, Inc.",,PCB,BBPA BIGBEND PA100,"","","",1,each,true,true,"",D,Active,"Various updates. Depop shield, move tuning cap to Transformer, etc.","",,USD,,,,
